NTAX,STRHT,SRATE,NCHR,REPL,MTHD,DOLLO,SECS
10,2000000,1e-06,1000,10,paup-dollo-fast-hsearch-first,1338,0.839
10,2000000,1e-06,1000,10,dollo-cdp-fast,1338,1.279
10,2000000,1e-06,1000,10,paup-dollo-hsearch-first,1338,0.776
10,2000000,1e-06,1000,10,paup-dollo-hsearch,1338,0.776
10,2000000,1e-06,1000,11,paup-dollo-fast-hsearch-first,1402,0.844
10,2000000,1e-06,1000,11,dollo-cdp-fast,1402,1.281
10,2000000,1e-06,1000,11,paup-dollo-hsearch-first,1402,0.22
10,2000000,1e-06,1000,11,paup-dollo-hsearch,1402,0.22
10,2000000,1e-06,1000,12,paup-dollo-fast-hsearch-first,1272,0.838
10,2000000,1e-06,1000,12,dollo-cdp-fast,1272,1.25
10,2000000,1e-06,1000,12,paup-dollo-hsearch-first,1272,0.28
10,2000000,1e-06,1000,12,paup-dollo-hsearch,1272,0.28
10,2000000,1e-06,1000,13,paup-dollo-fast-hsearch-first,1395,0.841
10,2000000,1e-06,1000,13,dollo-cdp-fast,1395,1.21
10,2000000,1e-06,1000,13,paup-dollo-hsearch-first,1395,0.316
10,2000000,1e-06,1000,13,paup-dollo-hsearch,1395,0.316
10,2000000,1e-06,1000,14,paup-dollo-fast-hsearch-first,1422,0.807
10,2000000,1e-06,1000,14,dollo-cdp-fast,1422,1.191
10,2000000,1e-06,1000,14,paup-dollo-hsearch-first,1422,0.32
10,2000000,1e-06,1000,14,paup-dollo-hsearch,1422,0.32
10,2000000,1e-06,1000,15,paup-dollo-fast-hsearch-first,1137,0.794
10,2000000,1e-06,1000,15,dollo-cdp-fast,1137,1.19
10,2000000,1e-06,1000,15,paup-dollo-hsearch-first,1137,0.306
10,2000000,1e-06,1000,15,paup-dollo-hsearch,1137,0.306
10,2000000,1e-06,1000,16,paup-dollo-fast-hsearch-first,1247,0.266
10,2000000,1e-06,1000,16,dollo-cdp-fast,1247,0.757
10,2000000,1e-06,1000,16,paup-dollo-hsearch-first,1247,0.302
10,2000000,1e-06,1000,16,paup-dollo-hsearch,1247,0.302
10,2000000,1e-06,1000,17,paup-dollo-fast-hsearch-first,1238,0.253
10,2000000,1e-06,1000,17,dollo-cdp-fast,1238,0.646
10,2000000,1e-06,1000,17,paup-dollo-hsearch-first,1238,0.751
10,2000000,1e-06,1000,17,paup-dollo-hsearch,1238,0.751
10,2000000,1e-06,1000,18,paup-dollo-fast-hsearch-first,1183,0.256
10,2000000,1e-06,1000,18,dollo-cdp-fast,1183,0.618
10,2000000,1e-06,1000,18,paup-dollo-hsearch-first,1183,0.313
10,2000000,1e-06,1000,18,paup-dollo-hsearch,1183,0.313
10,2000000,1e-06,1000,19,paup-dollo-fast-hsearch-first,1198,0.832
10,2000000,1e-06,1000,19,dollo-cdp-fast,1198,1.266
10,2000000,1e-06,1000,19,paup-dollo-hsearch-first,1198,0.206
10,2000000,1e-06,1000,19,paup-dollo-hsearch,1198,0.206
10,2000000,1e-06,1000,20,paup-dollo-fast-hsearch-first,1248,0.808
10,2000000,1e-06,1000,20,dollo-cdp-fast,1248,1.183
10,2000000,1e-06,1000,20,paup-dollo-hsearch-first,1248,0.218
10,2000000,1e-06,1000,20,paup-dollo-hsearch,1248,0.218
10,2000000,1e-06,1000,21,paup-dollo-fast-hsearch-first,1284,0.255
10,2000000,1e-06,1000,21,dollo-cdp-fast,1284,0.635
10,2000000,1e-06,1000,21,paup-dollo-hsearch-first,1284,0.199
10,2000000,1e-06,1000,21,paup-dollo-hsearch,1284,0.199
10,2000000,1e-06,1000,22,paup-dollo-fast-hsearch-first,1256,0.29
10,2000000,1e-06,1000,22,dollo-cdp-fast,1256,0.735
10,2000000,1e-06,1000,22,paup-dollo-hsearch-first,1256,0.303
10,2000000,1e-06,1000,22,paup-dollo-hsearch,1256,0.303
10,2000000,1e-06,1000,23,paup-dollo-fast-hsearch-first,1215,0.252
10,2000000,1e-06,1000,23,dollo-cdp-fast,1215,0.649
10,2000000,1e-06,1000,23,paup-dollo-hsearch-first,1215,0.201
10,2000000,1e-06,1000,23,paup-dollo-hsearch,1215,0.201
10,2000000,1e-06,1000,24,paup-dollo-fast-hsearch-first,1288,0.846
10,2000000,1e-06,1000,24,dollo-cdp-fast,1288,1.301
10,2000000,1e-06,1000,24,paup-dollo-hsearch-first,1288,0.342
10,2000000,1e-06,1000,24,paup-dollo-hsearch,1288,0.342
