NTAX,STRHT,SRATE,NCHR,REPL,MTHD,NODE,real,user,sys
model,100,2000000,0.000001,1000,09,paup-dollo-fast-hsearch,cbcb01,0m34.771s,0m33.902s,0m0.003s
model,100,2000000,0.000001,1000,09,paup-dollo-hsearch,cbcb20,0m34.728s,0m33.804s,0m0.006s
model,100,2000000,0.000001,1000,10,dollo-cdp-fast,cbcb01,0m1.250s,0m0.050s,0m0.001s
model,100,2000000,0.000001,1000,10,paup-dollo-fast-hsearch,cbcb01,0m18.657s,0m17.863s,0m0.004s
model,100,2000000,0.000001,1000,10,paup-dollo-hsearch,cbcb17,1m25.336s,1m24.063s,0m0.002s
model,100,2000000,0.000001,1000,11,dollo-cdp-fast,cbcb20,0m1.424s,0m0.060s,0m0.000s
model,100,2000000,0.000001,1000,11,paup-dollo-fast-hsearch,cbcb20,0m18.134s,0m17.261s,0m0.005s
model,100,2000000,0.000001,1000,11,paup-dollo-hsearch,cbcb21,2m26.594s,2m25.007s,0m0.006s
model,100,2000000,0.000001,1000,12,dollo-cdp-fast,cbcb18,0m1.226s,0m0.061s,0m0.001s
model,100,2000000,0.000001,1000,12,paup-dollo-fast-hsearch,cbcb18,0m21.090s,0m20.298s,0m0.004s
model,100,2000000,0.000001,1000,12,paup-dollo-hsearch,cbcb21,1m57.215s,1m56.398s,0m0.003s
model,100,2000000,0.000001,1000,13,dollo-cdp-fast,cbcb17,0m1.202s,0m0.056s,0m0.002s
model,100,2000000,0.000001,1000,13,paup-dollo-fast-hsearch,cbcb17,0m28.763s,0m28.462s,0m0.006s
model,100,2000000,0.000001,1000,13,paup-dollo-hsearch,cbcb21,0m42.411s,0m41.405s,0m0.005s
model,100,2000000,0.000001,1000,14,dollo-cdp-fast,cbcb21,0m1.225s,0m0.047s,0m0.002s
model,100,2000000,0.000001,1000,14,paup-dollo-fast-hsearch,cbcb21,0m43.515s,0m42.683s,0m0.004s
model,100,2000000,0.000001,1000,14,paup-dollo-hsearch,cbcb21,0m43.190s,0m42.216s,0m0.005s
model,100,2000000,0.000001,1000,15,dollo-cdp-fast,cbcb01,0m1.315s,0m0.054s,0m0.003s
model,100,2000000,0.000001,1000,15,paup-dollo-fast-hsearch,cbcb01,0m8.377s,0m7.619s,0m0.005s
model,100,2000000,0.000001,1000,15,paup-dollo-hsearch,cbcb21,1m10.764s,1m9.604s,0m0.007s
model,100,2000000,0.000001,1000,16,dollo-cdp-fast,cbcb01,0m1.353s,0m0.062s,0m0.001s
model,100,2000000,0.000001,1000,16,paup-dollo-fast-hsearch,cbcb01,0m25.521s,0m24.479s,0m0.006s
model,100,2000000,0.000001,1000,16,paup-dollo-hsearch,cbcb21,1m43.277s,1m41.977s,0m0.005s
model,100,2000000,0.000001,1000,17,dollo-cdp-fast,cbcb01,0m1.353s,0m0.054s,0m0.002s
model,100,2000000,0.000001,1000,17,paup-dollo-fast-hsearch,cbcb01,0m14.343s,0m13.557s,0m0.003s
model,100,2000000,0.000001,1000,17,paup-dollo-hsearch,cbcb15,1m11.071s,1m9.959s,0m0.007s
model,100,2000000,0.000001,1000,18,dollo-cdp-fast,cbcb01,0m1.222s,0m0.049s,0m0.002s
model,100,2000000,0.000001,1000,18,paup-dollo-fast-hsearch,cbcb01,0m40.802s,0m39.879s,0m0.030s
model,100,2000000,0.000001,1000,18,paup-dollo-hsearch,cbcb21,0m40.765s,0m39.794s,0m0.012s
model,100,2000000,0.000001,1000,19,dollo-cdp-fast,cbcb19,0m1.352s,0m0.057s,0m0.003s
model,100,2000000,0.000001,1000,19,paup-dollo-fast-hsearch,cbcb19,0m8.766s,0m7.996s,0m0.013s
model,100,2000000,0.000001,1000,19,paup-dollo-hsearch,cbcb21,1m24.935s,1m24.156s,0m0.003s
model,100,2000000,0.000001,1000,20,dollo-cdp-fast,cbcb01,0m1.365s,0m0.047s,0m0.002s
model,100,2000000,0.000001,1000,20,paup-dollo-fast-hsearch,cbcb01,0m34.280s,0m33.394s,0m0.019s
model,100,2000000,0.000001,1000,20,paup-dollo-hsearch,cbcb21,0m34.073s,0m33.692s,0m0.005s
model,100,2000000,0.000001,1000,21,dollo-cdp-fast,cbcb01,0m1.176s,0m0.060s,0m0.003s
model,100,2000000,0.000001,1000,21,paup-dollo-fast-hsearch,cbcb01,0m7.517s,0m6.762s,0m0.006s
model,100,2000000,0.000001,1000,21,paup-dollo-hsearch,cbcb21,1m28.307s,1m27.028s,0m0.002s
model,100,2000000,0.000001,1000,22,dollo-cdp-fast,cbcb02,0m1.341s,0m0.058s,0m0.001s
model,100,2000000,0.000001,1000,22,paup-dollo-fast-hsearch,cbcb02,0m12.354s,0m11.494s,0m0.004s
model,100,2000000,0.000001,1000,22,paup-dollo-hsearch,cbcb21,1m28.094s,1m26.854s,0m0.008s
model,100,2000000,0.000001,1000,23,dollo-cdp-fast,cbcb02,0m1.241s,0m0.054s,0m0.003s
model,100,2000000,0.000001,1000,23,paup-dollo-fast-hsearch,cbcb02,0m33.014s,0m32.141s,0m0.005s
model,100,2000000,0.000001,1000,23,paup-dollo-hsearch,cbcb21,0m42.583s,0m41.635s,0m0.005s
model,100,2000000,0.000001,1000,24,dollo-cdp-fast,cbcb02,0m1.264s,0m0.058s,0m0.001s
model,100,2000000,0.000001,1000,24,paup-dollo-fast-hsearch,cbcb02,0m13.976s,0m13.175s,0m0.007s
model,100,2000000,0.000001,1000,24,paup-dollo-hsearch,cbcb21,1m37.456s,1m36.253s,0m0.007s
model,100,2000000,0.000001,1000,25,dollo-cdp-fast,cbcb02,0m1.462s,0m0.052s,0m0.001s
model,100,2000000,0.000001,1000,25,paup-dollo-fast-hsearch,cbcb02,0m10.898s,0m10.081s,0m0.007s
model,100,2000000,0.000001,1000,25,paup-dollo-hsearch,cbcb21,1m12.023s,1m10.871s,0m0.005s
model,100,2000000,0.000001,50000,01,dollo-cdp-fast,cbcb03,0m5.710s,0m4.222s,0m0.032s
model,100,2000000,0.000001,50000,01,paup-dollo-fast-hsearch,cbcb03,0m21.749s,0m20.879s,0m0.012s
model,100,2000000,0.000001,50000,01,paup-dollo-hsearch,cbcb17,13m9.021s,13m5.624s,0m0.011s
model,100,2000000,0.000001,50000,02,dollo-cdp-fast,cbcb03,0m5.610s,0m4.248s,0m0.034s
model,100,2000000,0.000001,50000,02,paup-dollo-fast-hsearch,cbcb03,0m25.273s,0m24.397s,0m0.012s
model,100,2000000,0.000001,50000,02,paup-dollo-hsearch,cbcb19,14m47.623s,14m43.614s,0m0.008s
model,100,2000000,0.000001,50000,03,dollo-cdp-fast,cbcb03,0m5.224s,0m3.898s,0m0.026s
model,100,2000000,0.000001,50000,03,paup-dollo-fast-hsearch,cbcb03,0m30.420s,0m29.528s,0m0.009s
model,100,2000000,0.000001,50000,03,paup-dollo-hsearch,cbcb16,12m33.889s,12m30.354s,0m0.015s
model,100,2000000,0.000001,50000,04,dollo-cdp-fast,cbcb03,0m5.501s,0m4.062s,0m0.021s
model,100,2000000,0.000001,50000,04,paup-dollo-fast-hsearch,cbcb03,0m22.031s,0m21.169s,0m0.008s
model,100,2000000,0.000001,50000,04,paup-dollo-hsearch,cbcb15,14m48.437s,14m44.136s,0m0.010s
model,100,2000000,0.000001,50000,05,dollo-cdp-fast,cbcb03,0m5.588s,0m4.231s,0m0.038s
