MODL,NCHR,REPL,MTHD,DOLLO
Palaeognathae,1000,Rep19,paup-dollo-fast-hsearch-first,1282
Palaeognathae,1000,Rep19,paup-dollo-hsearch-first,1282
Palaeognathae,1000,Rep1,dollo-cdp-fast,1252
Palaeognathae,1000,Rep1,paup-dollo-bnb-first,1252
Palaeognathae,1000,Rep1,paup-dollo-fast-hsearch-first,1252
Palaeognathae,1000,Rep1,paup-dollo-hsearch-first,1252
Palaeognathae,1000,Rep20,dollo-cdp-fast,1228
Palaeognathae,1000,Rep20,paup-dollo-bnb-first,1228
Palaeognathae,1000,Rep20,paup-dollo-fast-hsearch-first,1228
Palaeognathae,1000,Rep20,paup-dollo-hsearch-first,1228
Palaeognathae,1000,Rep21,dollo-cdp-fast,1248
Palaeognathae,1000,Rep21,paup-dollo-bnb-first,1248
Palaeognathae,1000,Rep21,paup-dollo-fast-hsearch-first,1248
Palaeognathae,1000,Rep21,paup-dollo-hsearch-first,1248
Palaeognathae,1000,Rep22,dollo-cdp-fast,1217
Palaeognathae,1000,Rep22,paup-dollo-bnb-first,1217
Palaeognathae,1000,Rep22,paup-dollo-fast-hsearch-first,1217
Palaeognathae,1000,Rep22,paup-dollo-hsearch-first,1217
Palaeognathae,1000,Rep23,dollo-cdp-fast,1281
Palaeognathae,1000,Rep23,paup-dollo-bnb-first,1281
Palaeognathae,1000,Rep23,paup-dollo-fast-hsearch-first,1281
Palaeognathae,1000,Rep23,paup-dollo-hsearch-first,1281
Palaeognathae,1000,Rep24,dollo-cdp-fast,1231
Palaeognathae,1000,Rep24,paup-dollo-bnb-first,1231
Palaeognathae,1000,Rep24,paup-dollo-fast-hsearch-first,1231
Palaeognathae,1000,Rep24,paup-dollo-hsearch-first,1231
Palaeognathae,1000,Rep25,dollo-cdp-fast,1251
Palaeognathae,1000,Rep25,paup-dollo-bnb-first,1251
Palaeognathae,1000,Rep25,paup-dollo-fast-hsearch-first,1251
Palaeognathae,1000,Rep25,paup-dollo-hsearch-first,1251
Palaeognathae,1000,Rep2,dollo-cdp-fast,1262
Palaeognathae,1000,Rep2,paup-dollo-bnb-first,1262
Palaeognathae,1000,Rep2,paup-dollo-fast-hsearch-first,1262
Palaeognathae,1000,Rep2,paup-dollo-hsearch-first,1262
Palaeognathae,1000,Rep3,dollo-cdp-fast,1256
Palaeognathae,1000,Rep3,paup-dollo-bnb-first,1256
Palaeognathae,1000,Rep3,paup-dollo-fast-hsearch-first,1256
Palaeognathae,1000,Rep3,paup-dollo-hsearch-first,1256
Palaeognathae,1000,Rep4,dollo-cdp-fast,1241
